generic_name_clean,common_side_effects,less_common_side_effects,rare_side_effects,postmarketing_side_effects,unknown_frequency_side_effects
topiramate,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain lower, abdominal pain upper, abnormal behaviour, accommodation disorder, acne, action tremor, affect lability, ageusia, aggression","abdominal tenderness, abnormal sensation in eye, acidosis, allergic oedema, angle closure glaucoma, aura, bipolar disorder, bipolar i disorder, bradyphrenia, breast discharge","altered visual depth perception, blindness transient, eye movement disorder, hypocholesterolaemia, muscle fatigue, night blindness, obesity, osteomalacia","administration site reaction, anosmia, crystal urine present, dependence, expressive language disorder, feeling of despair, hyperammonaemia, hyperplasia","acidosis hyperchloraemic, anhidrosis, blindness unilateral, blood bicarbonate, calcinosis, collagen disorder, deafness unilateral, distractibility"
topotecan,"abdominal pain, acute respiratory distress syndrome, alanine aminotransferase increased, alopecia, anaemia, anaphylactic shock, angioedema, angiopathy, arthralgia, aspartate aminotransferase increased, asthenia, back pain","acute leukaemia, anaphylactoid reaction, dyspareunia, lung neoplasm malignant, paresis, respiratory failure",,metastatic neoplasm,
trabectedin,"abdominal pain, abdominal pain upper, agranulocytosis, alanine aminotransferase increased, alopecia, anaemia, angiopathy, arthralgia, aspartate aminotransferase increased, asthenia, back pain, bilirubin conjugated increased","blood albumin decreased, rhabdomyolysis, traumatic liver injury","left ventricular dysfunction, necrosis",,
trametinib,"abdominal discomfort, abdominal pain, abdominal pain lower, abdominal pain upper, actinic keratosis, alanine aminotransferase increased, anaemia, angiopathy, aphthous stomatitis, arrhythmia, arthralgia, aspartate aminotransferase increased","abdominal tenderness, cyst, gastric haemorrhage, haematochezia, hypoalbuminaemia, malignant melanoma, polyp, rhabdomyolysis, vitreous haemorrhage","blindness transient, ocular toxicity, rash vesicular",,brain stem haemorrhage
trandolapril,"abdominal distension, abdominal pain, acute coronary syndrome, agitation, agranulocytosis, alanine aminotransferase increased, alopecia, anaemia, angina pectoris, angioedema, angiopathy, anxiety","arrhythmia supraventricular, atrial flutter, blood potassium increased, cardiogenic shock, congenital arterial malformation, haemolytic anaemia, intermittent claudication, laboratory test abnormal, laryngeal oedema, migraine without aura","antinuclear antibody positive, blood creatinine decreased, enzyme abnormality, ichthyosis, ichthyosis acquired, pemphigus, platelet disorder, pulmonary eosinophilia",,upper respiratory tract inflammation
travoprost,"abdominal pain, angina pectoris, angiopathy, anxiety, arthralgia, arthritis, asthenia, asthenopia, asthma, back pain, blepharitis, blood pressure increased","abnormal sensation in eye, anterior chamber flare, anterior chamber inflammation, anterior chamber pigmentation, blood pressure systolic increased, conjunctival disorder, corneal epithelium defect, corneal pigmentation, dark circles under eyes, eczema eyelids","blood pressure diastolic decreased, eye allergy, eyelash discolouration, eyelash thickening, eyelid irritation, hypoaesthesia eye, prostatic specific antigen increased, vitreous detachment",ectropion,"anterior chamber cell, eye naevus, eyelid pain, lid sulcus deepened, retinal pigmentation"
treprostinil,"abdominal discomfort, abdominal pain, anaemia, angioedema, anxiety, arthralgia, asthenia, back pain, blood culture positive, body temperature increased, bone pain, bradycardia",,,,"infusion site infection, physical assault, pseudomonal sepsis, pseudomonas infection"
triazolam,"abdominal pain, affect lability, aggression, agitation, amnesia, anterograde amnesia, anxiety, asthenia, ataxia, chest pain, confusional state, constipation",drug abuse,,,muscle tone disorder
trimethoprim,"abdominal pain, abnormal behaviour, agitation, agranulocytosis, anaemia megaloblastic, anaphylactic shock, angioedema, anxiety, arthralgia, ataxia, body temperature increased, confusional state","aplastic anaemia, drug eruption, haemolytic anaemia","haemolysis, hepatic necrosis, leukocytoclastic vasculitis, meningitis aseptic, methaemoglobinaemia",,
tropicamide,"anaphylactic shock, arrhythmia, asthenia, bronchospasm, constipation, disturbance in attention, dysphagia, dysuria, fatigue, flushing, headache, hyperhidrosis","intraocular pressure increased, vital dye staining cornea present",,,corneal irritation
umeclidinium,"abdominal pain upper, arthralgia, atrial fibrillation, back pain, cardiac disorder, connective tissue disorder, contusion, cough, dermatitis, diarrhoea, dizziness, dyspepsia","angle closure glaucoma, bronchospasm paradoxical, rhythm idioventricular, supraventricular extrasystoles",,,
ustekinumab,"acute coronary syndrome, anaphylactic shock, angioedema, anxiety, arthralgia, asthenia, back pain, breast cancer, cellulitis, cerebrovascular accident, cholecystitis, connective tissue disorder","appendicitis, diverticulitis, malignant melanoma, osteomyelitis, pustular psoriasis",posterior reversible encephalopathy syndrome,erythrodermic psoriasis,
vandetanib,"abdominal pain, acne, alanine aminotransferase increased, alopecia, altered state of consciousness, amylase increased, angiopathy, anxiety, arrhythmia, arthralgia, asthenia, atrial fibrillation","abdominal wall abscess, anuria, appendicitis, bipolar disorder, bipolar i disorder, blood calcium decreased, blood glucose decreased, blood potassium increased, brain oedema, calculus ureteric","posterior reversible encephalopathy syndrome, respiratory arrest","bone cancer metastatic, cardio-respiratory arrest, malignant hypertension, musculoskeletal disorder, pneumatosis intestinalis, renal colic","alanine aminotransferase normal, blood magnesium increased, gastroenteritis bacterial"
vardenafil,"abdominal pain, abdominal pain upper, accommodation disorder, acute coronary syndrome, alanine aminotransferase increased, amnesia, anaphylactic shock, angina pectoris, angioedema, angiopathy, anxiety, arthralgia","abnormal sensation in eye, allergic oedema, angina unstable, blindness, haematospermia, intraocular pressure increased, laryngeal oedema, penile haemorrhage, priapism, sudden cardiac death","blindness transient, erection increased, oedema mucosal, optic ischaemic neuropathy, premature ejaculation, retinal vein occlusion","sudden hearing loss, transient global amnesia","cyanopsia, visual brightness"
vasopressin,"abdominal pain, anaphylactic shock, angina pectoris, arrhythmia, bronchospasm, cardiac arrest, cardiac output decreased, gangrene, hyperhidrosis, hypersensitivity, myocardial ischaemia, nausea",,,vasoconstriction,
vemurafenib,"actinic keratosis, alopecia, anaphylactic shock, angiopathy, arthralgia, arthritis, asthenia, atrial fibrillation, back pain, basal cell carcinoma, body temperature increased, cardiac disorder","cyst, malignant melanoma, paralysis, polyp, squamous cell carcinoma",retinal vein occlusion,"chronic myelomonocytic leukaemia, metastatic malignant melanoma","oropharyngeal squamous cell carcinoma, palmar erythema"
venlafaxine,"abdominal distension, abdominal pain, abnormal behaviour, abnormal dreams, accommodation disorder, acute coronary syndrome, affect lability, ageusia, aggression, agitation, agranulocytosis, akathisia","abortion, adjustment disorder, alcohol abuse, angle closure glaucoma, anuria, aortic aneurysm, aplastic anaemia, appendicitis, arteritis, biliary colic","balanitis, basophilia, capillary fragility, cervicitis, congenital anomaly, congenital genitourinary abnormality, developmental delay, drug dependence","dependence, epidermal necrosis",anxiety disorder
vigabatrin,"abdominal discomfort, abdominal distension, abdominal pain, abdominal pain upper, abnormal behaviour, abnormal dreams, acne, affect lability, aggression, agitation, amnesia, anaemia","ear disorder, ear infection, electroencephalogram abnormal, laryngeal oedema, ligament sprain, muscle strain, pulmonary congestion, respiratory failure, retinal degeneration, retinal disorder","congenital anomaly, developmental delay, optic atrophy, otitis media acute, suicidal behaviour","acute psychosis, atrophy, congenital genital malformation, congenital hydronephrosis, congenital oral malformation, congenital vesicoureteric reflux, delayed puberty, dentofacial anomaly","cytotoxic oedema, developmental coordination disorder"
vinorelbine,"abdominal pain, acute coronary syndrome, agranulocytosis, alopecia, anaemia, anaphylactic shock, angina pectoris, angioedema, angiopathy, arrhythmia, arthralgia, aspartate aminotransferase increased","adenocarcinoma, aplastic anaemia, inappropriate antidiuretic hormone secretion, lung neoplasm malignant, paresis, respiratory failure, vestibular disorder","cystitis haemorrhagic, necrosis, recall phenomenon",,"gastrointestinal toxicity, small cell lung cancer, vein discolouration"
vismodegib,"abdominal pain, abdominal pain upper, ageusia, alopecia, amenorrhoea, arthralgia, aspartate aminotransferase increased, asthenia, azotaemia, back pain, blood alkaline phosphatase increased, blood potassium decreased","hair growth abnormal, hypogeusia, menopause",,musculoskeletal disorder,
voriconazole,"abdominal distension, abdominal pain, abnormal dreams, accommodation disorder, acute coronary syndrome, acute respiratory distress syndrome, ageusia, agitation, agranulocytosis, akathisia, alanine aminotransferase increased, albuminuria","adrenal insufficiency, anaphylactoid reaction, anuria, aplastic anaemia, arrhythmia supraventricular, atrioventricular block complete, bleeding time prolonged, brain oedema, cerebral ischaemia, coma","acute hepatic failure, colour blindness, coma hepatic, creatinine renal clearance decreased, cutaneous lupus erythematosus, cystitis haemorrhagic, endocarditis, foetor hepaticus","fluorosis, periostitis, retinal toxicity","blighted ovum, duodenal ulcer perforation, paracoccidioides infection"
vorinostat,"abscess, acute coronary syndrome, alopecia, anaemia, angioedema, asthenia, blood creatinine increased, body temperature increased, chest pain, chills, cholecystitis, constipation","lobar pneumonia, squamous cell carcinoma",,fistula,"enterococcal infection, gastrointestinal toxicity, ischaemic stroke, pelvi-ureteric obstruction, spinal cord injury, streptococcal sepsis, t-cell lymphoma, ureteric obstruction"
zafirlukast,"abdominal discomfort, abdominal pain, agranulocytosis, angioedema, arthralgia, asthenia, back pain, blister, body temperature increased, contusion, dermatitis, dermatitis bullous","blood disorder, increased tendency to bruise, traumatic liver injury","eosinophilic pneumonia, hepatitis fulminant, leukocytoclastic vasculitis","allergic granulomatous angiitis, vasculitic rash",
zaleplon,"abdominal pain, accommodation disorder, affect lability, ageusia, aggression, agitation, alanine aminotransferase increased, albuminuria, alopecia, amnesia, anaemia, anaphylactic shock","anaphylactoid reaction, biliary colic, cerebral ischaemia, duodenal ulcer, enteritis, hyperacusis, increased bronchial secretion, ketosis, labyrinthitis, melanosis","lactase deficiency, lactose intolerance, oesophageal achalasia",dependence,
zanamivir,"abdominal pain, abnormal behaviour, agitation, anaphylactic shock, anxiety, arrhythmia, arthralgia, asthenia, asthma, body temperature increased, bronchitis, bronchospasm","anaphylactoid reaction, oropharyngeal swelling, rheumatic disorder",,,
zidovudine,"abdominal pain, acne, affect lability, agranulocytosis, amblyopia, anaemia, anaphylactic shock, angioedema, anxiety, arthralgia, aspartate aminotransferase increased, asthenia","acidosis, aplasia pure red cell, aplastic anaemia, drug interaction, haemolytic anaemia, hyperpathia, liver disorder, macular oedema, myositis, nail pigmentation","congenital anomaly, developmental delay, foetor hepaticus, mucosal pigmentation, rash follicular","acquired immunodeficiency syndrome, auricular swelling, autoimmune disorder, hepatitis c",
zileuton,"abdominal pain upper, arthralgia, body temperature increased, chest pain, conjunctivitis, constipation, dermatitis, diarrhoea, discomfort, dizziness, dyspepsia, feeling abnormal","liver disorder, traumatic liver injury",,,
